red,node,node_id,node_type,label,grado,grado_ponderado,intermediacion,armonica,pagerank,componente,componente_tamano,comentarios,videos_comentados,canales_distintos,categorias_distintas,consultas_distintas,comentarios_por_video,diversidad_canales,entropia_participacion,es_recurrente
proyeccion_autores,author::UCL13XhnRzbGokEkCkEOb0-g,UCL13XhnRzbGokEkCkEOb0-g,author,@raquelprado3643,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,2,1,1,1,1,2.0,1.0,0.0,False
proyeccion_autores,author::UCL1MT278vSaQ83ZDkVWn1gw,UCL1MT278vSaQ83ZDkVWn1gw,author,@elmorodriguez6978,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCLFdHr9BEbXHkoJopbEPLZw,UCLFdHr9BEbXHkoJopbEPLZw,author,@kanterra4584,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,2,1,1,1,1,2.0,1.0,0.0,False
proyeccion_autores,author::UCLggDc_a5HriXv7I1h02sOA,UCLggDc_a5HriXv7I1h02sOA,author,@guillermogonzalez5153,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,2,1,1,1,1,2.0,1.0,0.0,False
proyeccion_autores,author::UCN6qbfPSzFtjhqUDZ3Cv3CQ,UCN6qbfPSzFtjhqUDZ3Cv3CQ,author,@carlosmedranovelasquez6380,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCNBnKqWf4d-rS4HwJRQljmQ,UCNBnKqWf4d-rS4HwJRQljmQ,author,@LE_A22,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,2,1,1,1,1,2.0,1.0,0.0,False
proyeccion_autores,author::UCNkcuy42zEwddwEcOd_HpnA,UCNkcuy42zEwddwEcOd_HpnA,author,@vanigomez492,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCOLGv5Pf6BF2wFcwUzgcvHg,UCOLGv5Pf6BF2wFcwUzgcvHg,author,@welfrealdana5559,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,2,1,1,1,1,2.0,1.0,0.0,False
proyeccion_autores,author::UCOS8ViEkccrTZx2w2ccxotA,UCOS8ViEkccrTZx2w2ccxotA,author,@OscarHernandez-q8y,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCOh6DaZC_x9HASnlRylEMfw,UCOh6DaZC_x9HASnlRylEMfw,author,@AndresMedina-v1s,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCQ_-LPP8JAbfkc-b1Q6NvWw,UCQ_-LPP8JAbfkc-b1Q6NvWw,author,@MegaKristenstewart,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,2,1,1,1,1,2.0,1.0,0.0,False
proyeccion_autores,author::UCQgYjVngJRfPHDLGB5X6ZjA,UCQgYjVngJRfPHDLGB5X6ZjA,author,@oscarnavas9996,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCQqetiwzzmRNTM5OWuXarGQ,UCQqetiwzzmRNTM5OWuXarGQ,author,@isaiaslopezvelasquez1539,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCQtICyzWmhC5woCtbNgaSmg,UCQtICyzWmhC5woCtbNgaSmg,author,@nestormendez6216,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,2,1,1,1,1,2.0,1.0,0.0,False
proyeccion_autores,author::UCQtSFINs1h6GHkpg9o5kMvg,UCQtSFINs1h6GHkpg9o5kMvg,author,@MacarioMartinezruiz,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCRETAiYdh2dL5ZxB0_N1zDA,UCRETAiYdh2dL5ZxB0_N1zDA,author,@Joseroland21,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCRelkU8JiZBytTzebJxaa-w,UCRelkU8JiZBytTzebJxaa-w,author,@danyraymundo2942,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCRlCV9zSn7avAWh-9_XFWqQ,UCRlCV9zSn7avAWh-9_XFWqQ,author,@ronyarana8849,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
