node,node_id,node_type,bipartite,label,channel_id,channel_name,category,view_count,comments_total,author_handle,videos_count
video::6z2Psav9Onw,6z2Psav9Onw,video,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,848.0,0,,
video::74F3Mn_NWoE,74F3Mn_NWoE,video,1,"Acto de Graduación de los Cursos de Formación, Ascenso y Especialización Policial de la PNC.",UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,1197.0,0,,
video::7JerBdHtkWA,7JerBdHtkWA,video,1,Cambio de horarios en Municipalidad de Guatemala,UCJcN367ge_Yo1p7b20_KSaA,Canal 3 Guatemala,News & Politics,215.0,0,,
video::7hfUg8Z-W2o,7hfUg8Z-W2o,video,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,2449.0,0,,
video::7kuHyjwuE_o,7kuHyjwuE_o,video,1,Centro Municipal de Emprendimiento - Municipalidad de Guatemala,UCBn6Y-Y3kCAQqYXHaMIjEVw,Centro Municipal de Emprendimiento MuniGuate,Entertainment,528.0,0,,
video::7mdtGeIHQnE,7mdtGeIHQnE,video,1,"#LHEnContexto: Gestión de riesgos en GUATEMALA: Lo que debes saber, explicado por la CONRED",UCrAoF9-9Vvb9_zK0t-m2Rhg,La Hora,News & Politics,570.0,0,,
video::8CuQ2_HTaN0,8CuQ2_HTaN0,video,1,Conferencia de Prensa del Gobierno de Guatemala.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,735.0,0,,
video::8n6momRcC04,8n6momRcC04,video,1,Mantenimiento constante,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,91.0,0,,
video::90oVm0P4_9Q,90oVm0P4_9Q,video,1,"El MINGOB a través del Viceministerio de Seguridad, combate  el crimen organizado.",UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,News & Politics,5.0,0,,
video::9BIrwWQUdb8,9BIrwWQUdb8,video,1,"Capturan a ""guardián"" de parqueo utilizado por la mara Salvatrucha e incautan 5 vehículos robados.",UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,Science & Technology,23972.0,0,,
video::9Jacxvi9umU,9Jacxvi9umU,video,1,Los responsables de bloquear información en Guatecompras,UCDvpZGLyno6g-bi-wwYq4wQ,Somos El Combo,Entertainment,7340.0,0,,
video::9XFVeHiWDTo,9XFVeHiWDTo,video,1,En #LaRondaGT conoce las acciones que impulsamos para modernizar los puertos y aeropuertos del país.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,1516.0,0,,
video::9h7d1iDFaqo,9h7d1iDFaqo,video,1,Vuelve el tráfico lento en la ciudad capital,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,11396.0,0,,
video::9wHujSu-nbQ,9wHujSu-nbQ,video,1,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,459.0,0,,
video::AHzfpOL5sgw,AHzfpOL5sgw,video,1,Sistema de gobierno de Guatemala 🇬🇹,UCwlb2TaG9ywiD6uhHWTy-qg,SUM Estudios Jurídicos.,Education,2895.0,0,,
video::Aa7hIDCRh3g,Aa7hIDCRh3g,video,1,Este BUS me LLEVO a UN PARAISO EN GUATEMALA,UCDfEVbDrimcKw5lfbps915g,De todo Gt,People & Blogs,504374.0,0,,
video::AakUTlieyH0,AakUTlieyH0,video,1,Crisis de seguridad en Guatemala,UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,News & Politics,733.0,0,,
video::Ab0RrbzxyBU,Ab0RrbzxyBU,video,1,Municipalidad de Guatemala 17/11/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,117.0,0,,
video::AlbPEU3rbZs,AlbPEU3rbZs,video,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,870.0,0,,
video::ArljwpsURdY,ArljwpsURdY,video,1,"Entrevista especial con Claudinne Ogaldes, Secretaria Ejecutiva de la SE-CONRED",UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,416.0,0,,
video::B60bWqpVUIE,B60bWqpVUIE,video,1,Así es el transporte público en Ciudad de Guatemala,UCBedZZFhxFcMudI8oM5joSQ,PaulinoG,Travel & Events,96794.0,0,,
video::BLc_KXPng9g,BLc_KXPng9g,video,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,720.0,0,,
video::BUNeDEi0yVU,BUNeDEi0yVU,video,1,CIV LICITACIÓN 800 KM 110717,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,26.0,0,,
video::BW41jT3t3oI,BW41jT3t3oI,video,1,Provial,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,People & Blogs,79.0,0,,
video::BbAeamItalk,BbAeamItalk,video,1,ZARAGOZA DA UN PASO HACIA EL FORTALECIMIENTO DEL DEPORTE CON NUEVA CIUDAD DEPORTIVA,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,News & Politics,7.0,0,,
video::Bdn2nxDqQ90,Bdn2nxDqQ90,video,1,Video Viral de PMT / GUATEMALA,UC6XLvudi9BWjAzCR-6KAHiw,carlos del cid,Film & Animation,2482.0,0,,
video::Bi34XvRV6AM,Bi34XvRV6AM,video,1,Plan de Evacuación CONRED,UCyGWWWpmAP5AReA_o8bhaRg,MESCOGT,People & Blogs,58.0,0,,
video::BnZFUzpEDe4,BnZFUzpEDe4,video,1,Municipalidad de Guatemala se moderniza,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,People & Blogs,642.0,0,,
video::Boj5GILjbI0,Boj5GILjbI0,video,1,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 2",UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,26.0,0,,
video::Bp4LtQT8Hk0,Bp4LtQT8Hk0,video,1,"Ciudad de Guatemala, el mejor lugar para vivir",UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,Entertainment,4265.0,0,,
video::C5hJmAhpMMQ,C5hJmAhpMMQ,video,1,"YOUTUBE PUNTO DE ENFOQUE MARIO MEJÍA, SUBDIRECTOR DE INSIVUMEH",UClgawHgsbqN6Nuok7ds-Szw,INSIVUMEH,Science & Technology,79.0,0,,
video::C8wk4HWwWyM,C8wk4HWwWyM,video,1,Duro golpe al crimen organizado en Granja Penal de Pavón.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,2214.0,0,,
video::CDg6kLRfiqQ,CDg6kLRfiqQ,video,1,Acciones relevantes en el #Resumen24Horas,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,Science & Technology,11048.0,0,,
video::CJQ46Hr4HcU,CJQ46Hr4HcU,video,1,Municipalidad de Guatemala  19/12/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,222.0,0,,
video::D3fRGjqHeHI,D3fRGjqHeHI,video,1,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 1",UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,23.0,0,,
video::D4CEpAfkkPI,D4CEpAfkkPI,video,1,Policías arremeten contra agente de PMT en zona 10,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,79044.0,0,,
video::DBvMeKT4gzo,DBvMeKT4gzo,video,1,La Familia MÁS RICA de GUATEMALA… Ni la Guerra les Quitó el Trono y Hoy son DUEÑOS de tu CERVEZA,UCP1YKuLnn1WhzrkxCv1LILQ,Fortuna Latina,People & Blogs,58881.0,0,,
video::DC1_qrLUvHI,DC1_qrLUvHI,video,1,Municipalidad de Guatemala 26/08/2026,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,49.0,0,,
video::DMAKF8n0XJs,DMAKF8n0XJs,video,1,Guatemala TV • ID (2024-2026),UC7G_DpDtzHv0wbGJvvFCrNg,Mdpls²,Film & Animation,367.0,0,,
video::DX5eT-hVU8Q,DX5eT-hVU8Q,video,1,250 años Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,491.0,0,,
video::DkxSkQipYwo,DkxSkQipYwo,video,1,PRESIDENTE BERNARDO ARÉVALO PARTICIPA EN EL ACTO CONMEMORATIVO DEL DÍA DEL EJÉRCITO,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,News & Politics,66.0,0,,
video::EGfy1BxGLIk,EGfy1BxGLIk,video,1,Colabore con las medidas de la PMT,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,Education,1437.0,0,,
video::ELhvo8YnYnI,ELhvo8YnYnI,video,1,Insivumeh prevé lluvias fuertes por dos ondas del este,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,5182.0,0,,
video::EQDcEgFpXCk,EQDcEgFpXCk,video,1,Guatemala: Gobierno refuerza lucha contra las pandillas en medio de crisis de seguridad,UCUdOoVWuWmgo1wByzcsyKDQ,FRANCE 24 Español,News & Politics,5459.0,0,,
video::EZfm-05qtWo,EZfm-05qtWo,video,1,Municipalidad de Guatemala prepara plan de actividades en Semana Santa 2023,UCFu4dCls6GPdTvgIeE9wjOA,Cucurucho en Guatemala,People & Blogs,128.0,0,,
video::F72Rdq5crG4,F72Rdq5crG4,video,1,Cambios en el Ministerio de Comunicaciones: Salen Lizzette Benítez y Adrián Zapata Alamilla,UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,News & Politics,1441.0,0,,
video::FEc1BCuBiDg,FEc1BCuBiDg,video,1,¡Estamos con ustedes!,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,1562.0,0,,
video::FQP4JTo9ShA,FQP4JTo9ShA,video,1,Rafael Carrera y el nacimiento de Guatemala,UCvegRo82EipXUzAHQXZmr4A,MundoHistoria,Education,1420.0,0,,
