red,node,node_id,node_type,label,grado,grado_ponderado,intermediacion,armonica,pagerank,componente,componente_tamano,channel_name,category,comentarios,autores_unicos,autores_compartidos,proporcion_audiencia_compartida,videos_conectados,canales_conectados,categorias_conectadas,view_count
proyeccion_videos,video::677N9cx_kKE,677N9cx_kKE,video,Carlos Pineda Seguridad I - Guatemala tiene solución | Ep. 2,0,0.0,0.0,0.0,0.0028620758795720952,37,1,Carlos Pineda,People & Blogs,0,0,0,0.0,0,0,0,8568
proyeccion_videos,video::6KlI_geqPOI,6KlI_geqPOI,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt.,0,0.0,0.0,0.0,0.0028620758795720952,38,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,2301
proyeccion_videos,video::6Wf0ItQUaDU,6Wf0ItQUaDU,video,“Queremos generar 60 mil empleos”: Victorino Carranza revela el plan y las pérdidas de la Gremipe,0,0.0,0.0,0.0,0.0028620758795720952,39,1,Campus TV,News & Politics,0,0,0,0.0,0,0,0,2
proyeccion_videos,video::6y3KQmmg3Oc,6y3KQmmg3Oc,video,Noticiero El Informativo. Nuestra semana de resultados.,0,0.0,0.0,0.0,0.0028620758795720952,40,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,303
proyeccion_videos,video::6z2Psav9Onw,6z2Psav9Onw,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,0.0,0.0,0.0,0.0028620758795720952,41,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,848
proyeccion_videos,video::74F3Mn_NWoE,74F3Mn_NWoE,video,"Acto de Graduación de los Cursos de Formación, Ascenso y Especialización Policial de la PNC.",0,0.0,0.0,0.0,0.0028620758795720952,42,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,1197
proyeccion_videos,video::7JerBdHtkWA,7JerBdHtkWA,video,Cambio de horarios en Municipalidad de Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,43,1,Canal 3 Guatemala,News & Politics,0,0,0,0.0,0,0,0,215
proyeccion_videos,video::7hfUg8Z-W2o,7hfUg8Z-W2o,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt.,0,0.0,0.0,0.0,0.0028620758795720952,44,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,2449
proyeccion_videos,video::7kuHyjwuE_o,7kuHyjwuE_o,video,Centro Municipal de Emprendimiento - Municipalidad de Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,45,1,Centro Municipal de Emprendimiento MuniGuate,Entertainment,0,0,0,0.0,0,0,0,528
proyeccion_videos,video::7mdtGeIHQnE,7mdtGeIHQnE,video,"#LHEnContexto: Gestión de riesgos en GUATEMALA: Lo que debes saber, explicado por la CONRED",0,0.0,0.0,0.0,0.0028620758795720952,46,1,La Hora,News & Politics,0,0,0,0.0,0,0,0,570
proyeccion_videos,video::8CuQ2_HTaN0,8CuQ2_HTaN0,video,Conferencia de Prensa del Gobierno de Guatemala.,0,0.0,0.0,0.0,0.0028620758795720952,47,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,735
proyeccion_videos,video::8n6momRcC04,8n6momRcC04,video,Mantenimiento constante,0,0.0,0.0,0.0,0.0028620758795720952,48,1,Municipalidad de Guatemala,News & Politics,0,0,0,0.0,0,0,0,91
proyeccion_videos,video::90oVm0P4_9Q,90oVm0P4_9Q,video,"El MINGOB a través del Viceministerio de Seguridad, combate  el crimen organizado.",0,0.0,0.0,0.0,0.0028620758795720952,49,1,Ministerio de Gobernación,News & Politics,0,0,0,0.0,0,0,0,5
proyeccion_videos,video::9BIrwWQUdb8,9BIrwWQUdb8,video,"Capturan a ""guardián"" de parqueo utilizado por la mara Salvatrucha e incautan 5 vehículos robados.",0,0.0,0.0,0.0,0.0028620758795720952,50,1,PNCdeGuatemala,Science & Technology,0,0,0,0.0,0,0,0,23972
